Age,Gender,Annual Income,Number of Dependents,Education Level,Health Score,Location,Policy Type,Active Policy days,Previous Claims,Credit Score,Insurance Duration,Customer Feedback,Smoking Status,Exercise Frequency,Property Type,Premium Amount
63.0,Female,39086.0,1.0,PhD,29.97940759127295,Rural,Comprehensive,212,0.0,599.0,5.0,Good,No,Daily,Condo,1124.0
44.0,Female,128876.0,0.0,Master's,12.926507207276918,Urban,Basic,1362,0.0,421.0,9.0,Average,Yes,Monthly,House,501.0
41.0,Male,16408.0,4.0,PhD,27.527990962685728,Rural,Comprehensive,1072,1.0,761.0,1.0,Good,Yes,Daily,Condo,966.0
22.0,Male,15715.0,1.0,Bachelor's,6.371133627050482,Suburban,Premium,608,0.0,594.0,4.0,Poor,No,Rarely,House,1404.0
46.0,Female,17992.0,3.0,Bachelor's,18.64235857571746,Rural,Basic,1403,0.0,609.0,4.0,Poor,Yes,Monthly,Apartment,605.0
40.0,Female,58096.0,4.0,PhD,11.816129120485568,Urban,Comprehensive,1269,0.0,580.0,2.0,Poor,No,Monthly,Condo,322.0
47.0,Male,43798.0,2.0,PhD,17.93913909534002,Rural,Premium,1606,0.0,835.0,7.0,,No,Monthly,Apartment,1604.0
59.0,Male,13715.0,0.0,Bachelor's,27.058796244596923,Suburban,Basic,1754,1.0,620.0,5.0,Good,No,Daily,House,1620.0
,Female,11970.0,,PhD,,Rural,Basic,269,1.0,,6.0,Average,Yes,Daily,Apartment,478.0
39.0,Female,2760.0,4.0,Bachelor's,40.094819501397154,Rural,Premium,1453,0.0,658.0,2.0,,No,Monthly,House,50.0
36.0,Male,94561.0,2.0,PhD,11.473990036986743,Rural,Comprehensive,1845,5.0,308.0,5.0,Good,Yes,Daily,Apartment,1207.0
38.0,Female,,4.0,Bachelor's,35.82947836867667,Rural,Comprehensive,656,2.0,451.0,6.0,Average,Yes,Daily,Apartment,2478.0
39.0,Female,43879.0,0.0,Bachelor's,8.858306098593793,Rural,Comprehensive,913,2.0,603.0,2.0,Average,No,Daily,House,954.0
44.0,Female,10528.0,2.0,Bachelor's,8.064199609764549,Suburban,Basic,266,1.0,735.0,7.0,Average,Yes,Weekly,Apartment,1194.0
44.0,Male,,,PhD,7.854686215823103,Rural,Premium,201,2.0,628.0,1.0,Poor,No,Rarely,Apartment,58.0
20.0,Male,15380.0,2.0,Master's,11.902302051913669,Urban,Premium,619,0.0,728.0,8.0,Good,Yes,Daily,Condo,2266.0
25.0,Male,20585.0,4.0,Bachelor's,29.92704269909688,Suburban,Basic,1064,0.0,790.0,1.0,Average,No,Monthly,Condo,577.0
48.0,Male,,2.0,High School,5.071452349648981,Rural,Comprehensive,1384,2.0,319.0,8.0,,No,Weekly,Condo,1014.0
39.0,Female,7091.0,3.0,Bachelor's,21.08612611690177,Urban,Premium,1107,2.0,499.0,8.0,Poor,No,Rarely,Apartment,1170.0
47.0,Female,4866.0,2.0,PhD,3.869276801096524,Urban,Comprehensive,1695,0.0,704.0,9.0,,Yes,Daily,House,439.0
43.0,Female,3870.0,0.0,Bachelor's,16.939270230747994,Urban,Basic,762,1.0,495.0,3.0,Good,No,Weekly,House,449.0
21.0,Female,6362.0,4.0,High School,21.526948639593588,Suburban,Comprehensive,139,2.0,712.0,9.0,Poor,No,Daily,House,423.0
48.0,Female,7981.0,0.0,PhD,8.867952847761138,Urban,Premium,343,0.0,619.0,3.0,Average,No,Weekly,Condo,1322.0
20.0,Female,39718.0,3.0,PhD,45.382320313789634,Rural,Premium,1488,0.0,745.0,7.0,Good,Yes,Rarely,Condo,1397.0
48.0,Female,788.0,0.0,PhD,34.172901432947555,Rural,Premium,906,2.0,657.0,3.0,Average,No,Monthly,Apartment,1040.0
36.0,Female,34538.0,0.0,Master's,29.06748789508336,Suburban,Premium,1485,0.0,369.0,7.0,,No,Weekly,Condo,1915.0
29.0,Female,1556.0,0.0,Master's,10.83694244897259,Rural,Comprehensive,942,2.0,765.0,3.0,Poor,No,Weekly,Apartment,3047.0
40.0,Female,16082.0,1.0,PhD,29.93548990220525,Suburban,Premium,312,0.0,446.0,9.0,Good,Yes,Weekly,Condo,2147.0
52.0,Female,6920.0,0.0,Bachelor's,,Suburban,Basic,570,0.0,468.0,5.0,Average,No,Weekly,Apartment,2921.0
48.0,Male,17057.0,,Master's,38.9827100625885,Suburban,Comprehensive,602,1.0,682.0,4.0,Average,No,Rarely,Apartment,2215.0
58.0,Female,39079.0,0.0,Bachelor's,22.942244628072974,Urban,Basic,1703,0.0,663.0,8.0,Average,Yes,Daily,Apartment,1223.0
27.0,Female,7791.0,4.0,PhD,22.71628726480788,Urban,Comprehensive,328,1.0,599.0,5.0,Poor,No,Daily,House,1542.0
23.0,Male,39095.0,3.0,Master's,20.39263623263372,Rural,Premium,1501,0.0,757.0,7.0,Good,No,Monthly,House,1185.0
19.0,Male,15959.0,0.0,High School,28.96460252647024,Urban,Basic,275,0.0,315.0,9.0,Poor,Yes,Rarely,House,2341.0
19.0,Female,39743.0,4.0,Bachelor's,36.88662696378478,Rural,Comprehensive,615,0.0,328.0,6.0,Poor,No,Monthly,Apartment,1217.0
43.0,Female,7892.0,4.0,High School,28.97796864776635,Urban,Premium,1429,0.0,695.0,8.0,Average,No,Weekly,Condo,1076.0
25.0,Male,26667.0,4.0,PhD,35.085166107965605,Suburban,Premium,897,1.0,762.0,1.0,Average,No,Daily,Condo,446.0
28.0,Female,45718.0,1.0,Master's,26.95129977482945,Rural,Premium,1028,3.0,511.0,7.0,Good,Yes,Monthly,Apartment,4772.0
52.0,Male,99878.0,1.0,High School,,Rural,Premium,1410,2.0,839.0,3.0,,Yes,Rarely,House,2155.0
54.0,Male,49741.0,4.0,Bachelor's,45.84786452080098,Suburban,Comprehensive,1661,1.0,370.0,8.0,Poor,Yes,Daily,Condo,2473.0
55.0,Male,59775.0,0.0,Master's,19.00377623816739,Urban,Basic,1154,1.0,694.0,9.0,Good,No,Weekly,Apartment,367.0
25.0,Female,51640.0,1.0,Master's,19.025828875406454,Urban,Basic,321,1.0,830.0,4.0,Good,No,Daily,Condo,258.0
63.0,Male,28897.0,1.0,PhD,9.988942289074783,Urban,Basic,1290,0.0,705.0,3.0,Average,No,Rarely,Condo,1364.0
53.0,Male,40519.0,0.0,Bachelor's,33.92649889263557,Urban,Comprehensive,1774,0.0,543.0,4.0,Poor,No,Monthly,House,687.0
25.0,Male,45399.0,2.0,Master's,24.754044162030752,Rural,Basic,586,0.0,712.0,3.0,Average,Yes,Daily,Condo,1572.0
33.0,Female,28650.0,4.0,High School,11.396516388795469,Urban,Basic,1299,0.0,555.0,4.0,,Yes,Rarely,House,749.0
30.0,Female,22882.0,0.0,Bachelor's,9.054502186754124,Urban,Premium,339,0.0,,2.0,Good,Yes,Rarely,Condo,2725.0
28.0,Female,30997.0,,High School,24.584466251601587,Rural,Basic,188,0.0,,5.0,Good,No,Daily,House,1051.0
52.0,Male,32653.0,0.0,High School,31.147956780773857,Urban,Basic,650,0.0,563.0,5.0,Poor,No,Daily,Condo,934.0
55.0,Female,33550.0,2.0,PhD,20.61243902447405,Suburban,Premium,1039,2.0,799.0,2.0,Good,Yes,Monthly,Apartment,679.0
26.0,Male,74432.0,3.0,High School,9.053496944961688,Rural,Comprehensive,1447,1.0,397.0,1.0,Good,No,Weekly,Apartment,1617.0
35.0,Male,16285.0,,High School,16.92632075599682,Urban,Comprehensive,1756,0.0,711.0,9.0,Good,No,Rarely,House,533.0
60.0,Female,60549.0,4.0,PhD,17.053741887655356,Rural,Premium,1183,0.0,783.0,2.0,,Yes,Daily,Condo,2337.0
24.0,Female,43519.0,1.0,Bachelor's,23.92778813274077,Rural,Comprehensive,1658,0.0,584.0,8.0,Good,Yes,Daily,Condo,1444.0
34.0,Female,3891.0,3.0,Bachelor's,16.633251787933403,Rural,Comprehensive,836,0.0,818.0,5.0,,No,Daily,Apartment,806.0
49.0,Male,26709.0,1.0,Bachelor's,19.315965939221407,Rural,Premium,410,0.0,730.0,5.0,Good,Yes,Monthly,House,648.0
32.0,Female,26953.0,2.0,High School,28.566287248275582,Urban,Premium,831,0.0,711.0,9.0,Good,No,Daily,Condo,567.0
40.0,Female,30700.0,2.0,Bachelor's,37.92963244235614,Rural,Basic,816,0.0,815.0,8.0,Average,Yes,Monthly,Condo,671.0
55.0,Female,22732.0,4.0,Master's,11.47396175734072,Suburban,Basic,1247,1.0,391.0,5.0,Average,Yes,Monthly,Apartment,1118.0
56.0,Female,4568.0,,High School,17.83430956671044,Rural,Basic,1104,0.0,483.0,2.0,Poor,No,Daily,Apartment,1110.0
31.0,Female,,0.0,High School,20.9667416092358,Urban,Premium,257,0.0,,9.0,Good,Yes,Rarely,Apartment,365.0
28.0,Female,20408.0,2.0,Master's,18.587960567768704,Suburban,Premium,360,0.0,613.0,3.0,Poor,No,Weekly,Apartment,26.0
19.0,Male,3997.0,0.0,Master's,46.62459751399752,Rural,Comprehensive,1880,0.0,786.0,5.0,Good,No,Daily,House,1044.0
58.0,Female,10067.0,1.0,Bachelor's,36.47963025706784,Suburban,Basic,401,0.0,496.0,8.0,Average,No,Rarely,Condo,717.0
40.0,Female,66922.0,1.0,High School,,Rural,Premium,641,0.0,564.0,4.0,Good,Yes,Daily,Condo,397.0
56.0,Female,1795.0,3.0,Bachelor's,26.27788045677324,Suburban,Basic,843,3.0,626.0,5.0,Good,No,Weekly,Apartment,586.0
35.0,Male,93924.0,3.0,Bachelor's,32.08429521511085,Urban,Comprehensive,682,1.0,403.0,6.0,Good,No,Daily,Apartment,3125.0
38.0,Male,22916.0,3.0,Bachelor's,14.253516204091706,Rural,Comprehensive,802,1.0,845.0,2.0,Good,No,Monthly,House,1324.0
19.0,Male,96925.0,0.0,PhD,39.15122372097844,Urban,Premium,756,3.0,687.0,2.0,,Yes,Monthly,Apartment,872.0
29.0,Female,123048.0,1.0,High School,8.093345643314697,Rural,Premium,1076,0.0,648.0,8.0,Poor,Yes,Rarely,Apartment,382.0
35.0,Female,19293.0,0.0,Master's,22.235977463234164,Rural,Premium,162,1.0,427.0,3.0,,No,Daily,Condo,806.0
48.0,Female,129961.0,,PhD,15.757634759181531,Rural,Comprehensive,1305,1.0,372.0,8.0,Good,Yes,Daily,House,712.0
55.0,Male,5991.0,1.0,Bachelor's,26.868189549954995,Rural,Premium,304,1.0,848.0,4.0,Poor,Yes,Daily,House,1215.0
20.0,Female,32369.0,0.0,Master's,24.777832689555016,Rural,Comprehensive,1360,1.0,441.0,5.0,Poor,Yes,Weekly,Apartment,1556.0
19.0,Female,43112.0,4.0,Bachelor's,20.15853060967136,Urban,Premium,485,0.0,567.0,2.0,Average,No,Weekly,Condo,988.0
21.0,Male,3900.0,3.0,Master's,37.35123346561084,Urban,Basic,154,3.0,535.0,8.0,Poor,Yes,Weekly,Condo,871.0
36.0,Male,72597.0,4.0,PhD,22.6245411664563,Rural,Basic,1548,0.0,472.0,8.0,,Yes,Rarely,Condo,491.0
41.0,Female,1285.0,2.0,High School,,Urban,Premium,1389,0.0,787.0,2.0,Good,No,Weekly,Apartment,26.0
45.0,Female,25070.0,2.0,High School,46.91850171980763,Urban,Premium,232,0.0,424.0,9.0,Average,No,Daily,Condo,1534.0
34.0,Male,26395.0,2.0,PhD,45.61647534922304,Suburban,Premium,913,0.0,833.0,6.0,Average,Yes,Rarely,Condo,2040.0
60.0,Male,715.0,2.0,PhD,6.202250134062044,Suburban,Premium,452,0.0,309.0,1.0,Average,Yes,Rarely,Condo,238.0
24.0,Male,16878.0,2.0,High School,20.817962606130724,Urban,Premium,1367,1.0,514.0,7.0,Poor,No,Weekly,House,2689.0
37.0,Female,12065.0,4.0,High School,5.090187034430186,Urban,Comprehensive,900,0.0,309.0,9.0,Poor,Yes,Daily,House,1933.0
64.0,Female,3040.0,0.0,PhD,,Urban,Basic,1010,0.0,538.0,7.0,,No,Daily,Apartment,615.0
34.0,Male,545.0,2.0,PhD,30.967205275789155,Urban,Comprehensive,283,0.0,651.0,1.0,Good,Yes,Monthly,House,241.0
18.0,Female,,1.0,PhD,33.18347667995554,Suburban,Premium,518,1.0,422.0,7.0,,No,Monthly,House,992.0
31.0,Male,74798.0,0.0,Bachelor's,19.27331456578314,Urban,Comprehensive,1897,0.0,444.0,7.0,Average,No,Rarely,Apartment,404.0
30.0,Female,43593.0,3.0,Master's,42.8236589379415,Suburban,Premium,614,0.0,735.0,5.0,Average,No,Rarely,Condo,567.0
53.0,Male,28886.0,0.0,PhD,14.564632365645185,Rural,Basic,648,0.0,341.0,8.0,Poor,Yes,Monthly,Apartment,3725.0
63.0,Female,29789.0,4.0,Bachelor's,19.572662362802102,Rural,Basic,354,1.0,669.0,9.0,Good,No,Monthly,House,2882.0
39.0,Male,38393.0,2.0,PhD,38.50654570792936,Urban,Basic,1118,2.0,638.0,6.0,Poor,Yes,Monthly,Condo,1245.0
38.0,Female,35759.0,1.0,PhD,37.71664921858794,Suburban,Premium,1233,2.0,,4.0,Good,No,Weekly,Condo,1085.0
22.0,Female,35321.0,2.0,Bachelor's,27.43421572393456,Suburban,Comprehensive,1108,0.0,424.0,2.0,Average,No,Daily,Condo,23.0
60.0,Female,3577.0,1.0,Master's,19.78191677308012,Rural,Basic,862,0.0,,9.0,Poor,Yes,Monthly,Condo,29.0
21.0,Male,54812.0,2.0,High School,39.76957951884285,Rural,Comprehensive,1816,0.0,554.0,5.0,Good,No,Rarely,Condo,2159.0
35.0,Female,2976.0,3.0,Master's,3.9470799087795054,Rural,Comprehensive,1267,1.0,441.0,3.0,Poor,Yes,Rarely,House,281.0
39.0,Male,17561.0,4.0,Master's,24.58574578111878,Rural,Comprehensive,567,1.0,845.0,7.0,Poor,Yes,Weekly,House,1647.0
45.0,Female,,3.0,Bachelor's,17.735564939213294,Suburban,Comprehensive,1102,1.0,351.0,3.0,Good,Yes,Daily,Condo,1677.0
35.0,Male,25602.0,3.0,Bachelor's,33.06617808624084,Urban,Basic,894,0.0,695.0,9.0,Poor,Yes,Monthly,Condo,669.0
34.0,Male,34201.0,3.0,PhD,18.011686698456842,Rural,Premium,1749,0.0,815.0,4.0,Good,No,Monthly,House,461.0
54.0,Male,7042.0,4.0,Master's,11.720742503881135,Suburban,Comprehensive,452,1.0,441.0,1.0,Poor,Yes,Rarely,Condo,756.0
35.0,Male,4510.0,3.0,Bachelor's,48.76910155505017,Urban,Premium,856,1.0,489.0,2.0,Average,No,Weekly,Condo,514.0
37.0,Male,37408.0,3.0,PhD,,Urban,Basic,1808,3.0,417.0,1.0,Poor,Yes,Daily,House,20.0
59.0,Female,24245.0,3.0,Bachelor's,26.87869285612268,Rural,Basic,821,0.0,723.0,1.0,Good,Yes,Monthly,Apartment,1943.0
,Male,55502.0,0.0,PhD,11.917014585829708,Suburban,Basic,747,1.0,355.0,4.0,Average,Yes,Monthly,Condo,1838.0
53.0,Female,44695.0,4.0,Bachelor's,17.37795377274382,Urban,Basic,1904,1.0,513.0,1.0,Average,Yes,Weekly,House,4105.0
27.0,Female,26113.0,2.0,Bachelor's,12.282239850023087,Suburban,Premium,524,0.0,607.0,5.0,Poor,Yes,Weekly,Condo,1002.0
59.0,Male,29096.0,1.0,PhD,,Urban,Comprehensive,262,0.0,647.0,9.0,Poor,Yes,Weekly,Condo,724.0
28.0,Male,29600.0,,High School,27.75358805681219,Rural,Premium,1589,0.0,779.0,6.0,Average,Yes,Rarely,Condo,463.0
50.0,Male,20275.0,4.0,PhD,43.09867230897108,Suburban,Premium,610,0.0,487.0,7.0,Good,No,Monthly,Apartment,2040.0
23.0,Male,38229.0,1.0,Master's,26.85899269028082,Rural,Basic,723,0.0,437.0,9.0,Good,No,Weekly,Condo,1206.0
39.0,Male,14094.0,0.0,Bachelor's,48.76077038988956,Rural,Premium,884,0.0,723.0,7.0,Average,No,Rarely,Apartment,934.0
25.0,Male,20894.0,2.0,PhD,22.539708568656543,Urban,Premium,642,0.0,534.0,6.0,,Yes,Rarely,Condo,492.0
35.0,Male,15886.0,1.0,High School,17.539397045807696,Suburban,Basic,1596,0.0,746.0,4.0,Average,No,Rarely,Condo,2916.0
59.0,Male,35711.0,3.0,High School,16.895351167694386,Rural,Basic,1832,1.0,463.0,2.0,Average,No,Weekly,House,1123.0
23.0,Male,3729.0,2.0,Master's,36.88117502781042,Rural,Premium,349,0.0,441.0,4.0,Good,Yes,Monthly,Condo,1022.0
52.0,Female,25148.0,3.0,PhD,11.657914621378666,Suburban,Premium,1395,0.0,719.0,7.0,Average,Yes,Monthly,House,559.0
24.0,Female,16082.0,3.0,Master's,28.929236002499827,Urban,Premium,1023,2.0,,3.0,Good,Yes,Rarely,Apartment,2133.0
56.0,Male,1435.0,2.0,Master's,40.12777238943083,Urban,Premium,1498,1.0,330.0,7.0,Good,No,Daily,House,1254.0
32.0,Male,83539.0,2.0,PhD,35.69077916494736,Urban,Basic,1288,2.0,761.0,9.0,,Yes,Weekly,Condo,955.0
32.0,Male,38983.0,,PhD,32.29954096092769,Suburban,Comprehensive,1390,2.0,528.0,7.0,Poor,No,Weekly,Condo,642.0
49.0,Female,29221.0,4.0,Bachelor's,12.90762655339843,Suburban,Comprehensive,467,1.0,748.0,7.0,Poor,Yes,Rarely,House,703.0
48.0,Male,24891.0,0.0,Master's,17.084200707032327,Suburban,Basic,205,0.0,607.0,5.0,Poor,Yes,Daily,Condo,1584.0
22.0,Female,29702.0,2.0,High School,38.35102824151072,Suburban,Basic,1779,0.0,696.0,3.0,Good,No,Monthly,Condo,739.0
19.0,Male,44984.0,3.0,Master's,21.690923694654124,Suburban,Basic,339,1.0,581.0,5.0,,No,Weekly,House,1013.0
38.0,Male,12098.0,0.0,PhD,19.61673084783241,Rural,Premium,859,0.0,740.0,1.0,Poor,Yes,Rarely,Condo,678.0
,Male,30224.0,2.0,High School,18.633991466098784,Suburban,Basic,625,1.0,567.0,5.0,Good,Yes,Rarely,Apartment,1102.0
28.0,Male,17092.0,4.0,High School,30.83749626363767,Rural,Comprehensive,707,0.0,,3.0,Average,Yes,Weekly,Apartment,715.0
18.0,Male,141480.0,0.0,High School,53.86749168002344,Urban,Premium,1038,0.0,758.0,4.0,Average,Yes,Weekly,Condo,635.0
53.0,Male,39735.0,0.0,Master's,4.811594068553345,Rural,Basic,348,1.0,788.0,4.0,Poor,Yes,Weekly,House,1765.0
63.0,Female,17294.0,1.0,Master's,24.59041750067761,Urban,Basic,1350,1.0,376.0,8.0,Poor,Yes,Rarely,Condo,459.0
56.0,Female,17553.0,4.0,Master's,18.7274695755766,Suburban,Premium,284,1.0,513.0,8.0,Good,No,Daily,Apartment,641.0
47.0,Female,18592.0,2.0,High School,44.66321954853865,Rural,Basic,271,1.0,596.0,9.0,Average,Yes,Rarely,House,815.0
34.0,Female,,,Bachelor's,51.56562297140628,Urban,Premium,1262,0.0,703.0,4.0,Average,No,Monthly,Condo,1036.0
36.0,Female,27194.0,3.0,High School,8.947990297824623,Suburban,Basic,935,2.0,615.0,9.0,Poor,No,Daily,Apartment,901.0
47.0,Male,40029.0,2.0,Master's,12.37459610812951,Urban,Comprehensive,1244,0.0,784.0,5.0,Poor,Yes,Monthly,Condo,220.0
22.0,Female,24108.0,,PhD,24.79467638939965,Rural,Premium,188,1.0,463.0,2.0,Poor,No,Monthly,Apartment,272.0
39.0,Male,18362.0,0.0,Master's,42.92881284388525,Rural,Premium,1316,3.0,,7.0,Poor,No,Weekly,Condo,866.0
21.0,Female,5928.0,2.0,PhD,,Urban,Premium,284,0.0,820.0,7.0,,No,Monthly,Apartment,817.0
37.0,Male,7073.0,3.0,PhD,,Urban,Comprehensive,376,0.0,571.0,1.0,Good,No,Monthly,House,1049.0
25.0,Male,92648.0,0.0,Bachelor's,36.82266893211739,Rural,Premium,1081,1.0,516.0,7.0,Average,Yes,Rarely,Apartment,393.0
52.0,Female,18359.0,,Master's,27.7397037269629,Rural,Premium,750,0.0,817.0,9.0,Poor,Yes,Monthly,Condo,1143.0
19.0,Male,25465.0,0.0,High School,32.56439939782434,Urban,Premium,1632,0.0,438.0,2.0,Good,Yes,Daily,Apartment,628.0
24.0,Female,14094.0,1.0,Master's,33.54329710205042,Suburban,Comprehensive,745,0.0,658.0,3.0,Poor,No,Rarely,House,1004.0
31.0,Male,17359.0,0.0,High School,,Rural,Premium,718,0.0,619.0,5.0,Good,No,Daily,Apartment,761.0
41.0,Female,3064.0,2.0,Master's,24.67142954706929,Suburban,Basic,1692,1.0,483.0,2.0,Average,Yes,Rarely,Apartment,2142.0
61.0,Male,1320.0,4.0,Master's,27.90421242529292,Urban,Comprehensive,1504,0.0,420.0,2.0,Average,Yes,Weekly,Apartment,2681.0
29.0,Female,1523.0,3.0,Master's,14.166617093285788,Urban,Basic,1386,2.0,824.0,2.0,Good,Yes,Monthly,House,830.0
57.0,Female,26396.0,,PhD,8.582428184586336,Suburban,Premium,342,1.0,,6.0,Poor,No,Rarely,Condo,881.0
48.0,Male,26188.0,4.0,High School,30.72393154089828,Urban,Basic,281,0.0,721.0,4.0,Good,Yes,Weekly,House,1148.0
31.0,Female,38963.0,4.0,PhD,,Urban,Premium,1469,1.0,824.0,6.0,Average,Yes,Monthly,Apartment,825.0
50.0,Female,47628.0,4.0,Master's,24.82656131558928,Rural,Comprehensive,211,0.0,417.0,1.0,Poor,Yes,Weekly,House,531.0
